Precatalyst,N-H nucleophile ,N-H nucleophile addition method,N-H nucleophile Inlet Injection (uL),N-H nucleophile concentration (M),N-H nucleophile equivalents,Aryl triflate concentration (M),Precatalyst loading in mol%,Internal Standard Concentration 1-fluoronaphthalene (g/L),Base,Base concentration (M),Base equivalents,Make-Up Solvent ID,Quench Outlet Injection (uL),Temperature (degC),Residence Time Actual (s),Residence Time Actual (min),Reaction Yield,Conversion,right censored performance
tBuXPhos,Phenethylamine,Liquid handler,0,1.01,1.1,0.92,0.99,10,BTMG,1.80,2.0,2-MeTHF,15,100,1620,27,24,26,0
tBuXPhos,Phenethylamine,Liquid handler,0,1.01,1.1,0.92,0.99,10,DBU,1.80,2.0,2-MeTHF,15,100,1410,24,0,3,0
tBuXPhos,Phenethylamine,Liquid handler,0,1.01,1.1,0.92,0.99,10,DBU,1.00,1.1,2-MeTHF,15,100,1636,27,1,0,0
tBuXPhos,Phenethylamine,Liquid handler,0,1.01,1.1,0.92,0.99,10,BTMG,0.99,1.1,2-MeTHF,15,100,1403,23,7,8,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,BTMG,1.39,1.5,2-MeTHF,15,30,75,1,4,7,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,BTMG,1.01,1.1,2-MeTHF,15,65,1442,24,9,11,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,BTTP,1.80,2.0,2-MeTHF,15,100,1562,26,100,99,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,DBU,1.80,2.0,2-MeTHF,15,30,429,7,2,4,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,DBU,1.00,1.1,2-MeTHF,15,65,81,1,1,3,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,MTBD,1.80,2.0,2-MeTHF,15,30,1442,24,6,9,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,DBU,1.80,2.0,2-MeTHF,15,65,79,1,2,2,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,BTMG,1.80,2.0,2-MeTHF,15,100,89,1,51,49,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,BTTP,1.00,1.1,2-MeTHF,15,100,1536,26,84,86,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,BTMG,1.80,2.0,2-MeTHF,15,65,1370,23,50,53,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,BTTP,1.80,2.0,2-MeTHF,15,30,77,1,22,24,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,MTBD,0.99,1.1,2-MeTHF,15,30,1669,28,6,7,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,DBU,1.00,1.1,2-MeTHF,15,30,411,7,1,1,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,BTTP,1.00,1.1,2-MeTHF,15,30,77,1,15,17,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,BTMG,1.01,1.1,2-MeTHF,15,100,77,1,26,24,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,DBU,1.40,1.5,2-MeTHF,15,100,1662,28,16,15,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,MTBD,0.99,1.1,2-MeTHF,15,100,515,9,27,44,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,BTTP,1.40,1.5,2-MeTHF,15,65,432,7,97,99,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,MTBD,1.80,2.0,2-MeTHF,15,100,526,9,58,60,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,BTMG,1.67,1.8,2-MeTHF,15,100,410,7,87,87,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,DBU,1.41,1.5,2-MeTHF,15,100,443,7,14,16,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,MTBD,1.49,1.6,2-MeTHF,15,100,404,7,34,49,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,BTTP,1.36,1.5,2-MeTHF,15,100,421,7,98,100,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,BTMG,1.80,2.0,2-MeTHF,15,91,346,6,68,69,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,MTBD,1.80,2.0,2-MeTHF,15,91,325,5,38,36,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,BTTP,1.80,2.0,2-MeTHF,15,91,277,5,98,100,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,BTTP,1.80,2.0,2-MeTHF,15,48,418,7,62,64,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,BTMG,1.80,2.0,2-MeTHF,15,48,359,6,14,15,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,BTMG,1.80,2.0,2-MeTHF,15,82,614,10,66,66,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,BTTP,1.80,2.0,2-MeTHF,15,82,514,9,97,100,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,BTMG,1.80,2.0,2-MeTHF,15,92,768,13,90,94,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,BTTP,1.33,1.5,2-MeTHF,15,97,568,9,98,100,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,BTMG,1.80,2.0,2-MeTHF,15,92,811,14,92,96,0
tBuBrettPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.91,0.99,10,BTTP,1.40,1.5,2-MeTHF,15,94,587,10,99,100,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,MTBD,1.80,2.0,2-MeTHF,15,100,75,1,99,94,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,DBU,1.80,2.0,2-MeTHF,15,65,75,1,3,3,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,MTBD,1.01,1.1,2-MeTHF,15,100,78,1,65,70,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,BTTP,1.80,2.0,2-MeTHF,15,100,544,9,92,95,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,MTBD,1.01,1.1,2-MeTHF,15,65,1542,26,71,78,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,BTTP,1.00,1.1,2-MeTHF,15,100,492,8,82,91,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,DBU,1.00,1.1,2-MeTHF,15,65,77,1,8,8,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,BTMG,1.80,2.0,2-MeTHF,15,30,77,1,6,6,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,DBU,1.80,2.0,2-MeTHF,15,30,395,7,5,5,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,BTMG,1.40,1.5,2-MeTHF,15,65,498,8,31,37,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,BTMG,1.80,2.0,2-MeTHF,15,100,1712,29,97,93,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,DBU,1.00,1.1,2-MeTHF,15,30,540,9,3,3,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,BTTP,1.00,1.1,2-MeTHF,15,30,1601,27,84,88,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,BTMG,0.99,1.1,2-MeTHF,15,100,1376,23,75,86,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,DBU,1.40,1.5,2-MeTHF,15,100,1380,23,29,38,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,BTTP,1.80,2.0,2-MeTHF,15,30,1675,28,93,98,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,MTBD,1.39,1.5,2-MeTHF,15,30,75,1,14,17,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,BTMG,0.99,1.1,2-MeTHF,15,30,75,1,5,7,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,MTBD,1.80,2.0,2-MeTHF,15,65,1624,27,95,93,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,DBU,1.19,1.3,2-MeTHF,15,100,1702,28,42,53,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,BTTP,1.40,1.5,2-MeTHF,15,100,1442,24,97,96,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,MTBD,1.53,1.7,2-MeTHF,15,100,1650,27,93,96,0
AlPhos,Phenethylamine,Liquid handler,0,1.20,1.3,0.92,1.05,10,BTMG,1.45,1.6,2-MeTHF,15,100,1595,27,98,92,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,BTTP,1.80,2.0,2-MeTHF,45,30,79,1,0,0,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,BTTP,1.80,2.0,2-MeTHF,45,65,1748,29,2,11,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,BTMG,0.99,1.1,2-MeTHF,45,100,500,8,3,18,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,DBU,1.00,1.1,2-MeTHF,45,100,93,2,1,0,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,BTTP,1.00,1.1,2-MeTHF,45,30,95,2,1,0,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,BTTP,1.40,1.5,2-MeTHF,45,100,93,2,0,7,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,MTBD,1.80,2.0,2-MeTHF,45,30,378,6,1,0,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,BTMG,1.40,1.5,2-MeTHF,45,30,1299,22,0,0,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,DBU,1.40,1.5,2-MeTHF,45,65,403,7,1,0,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,MTBD,1.01,1.1,2-MeTHF,45,100,1277,21,0,0,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,MTBD,1.01,1.1,2-MeTHF,45,30,398,7,0,0,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,DBU,1.00,1.1,2-MeTHF,45,30,1301,22,0,0,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,BTMG,1.80,2.0,2-MeTHF,45,65,95,2,0,17,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,MTBD,1.80,2.0,2-MeTHF,45,100,1293,22,0,0,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,BTTP,1.00,1.1,2-MeTHF,45,65,1322,22,1,13,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,BTMG,1.80,2.0,2-MeTHF,45,100,393,7,2,0,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,BTMG,0.99,1.1,2-MeTHF,45,48,97,2,1,0,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,DBU,1.80,2.0,2-MeTHF,45,100,90,2,0,0,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,DBU,1.80,2.0,2-MeTHF,45,30,1266,21,1,0,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,MTBD,1.80,2.0,2-MeTHF,45,100,492,8,1,0,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,BTTP,1.80,2.0,2-MeTHF,45,100,497,8,6,29,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,DBU,1.80,2.0,2-MeTHF,45,100,489,8,1,0,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,BTMG,1.80,2.0,2-MeTHF,45,100,494,8,2,0,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,BTMG,1.80,2.0,2-MeTHF,45,45,401,7,0,28,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,DBU,1.80,2.0,2-MeTHF,45,45,400,7,1,29,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,BTTP,1.80,2.0,2-MeTHF,45,45,401,7,1,25,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,BTMG,0.99,1.1,2-MeTHF,45,100,317,5,1,2,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,DBU,1.80,2.0,2-MeTHF,45,100,1289,21,0,19,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,BTTP,1.80,2.0,2-MeTHF,45,100,1301,22,10,36,0
tBuBrettPhos,Morpholine,Liquid handler,0,1.21,1.3,0.92,1.02,10,BTTP,1.80,2.0,2-MeTHF,45,100,1300,22,12,50,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTMG,1.80,2.0,2-MeTHF,45,100,91,2,21,71,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTMG,1.80,2.0,2-MeTHF,45,48,578,10,1,15,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,MTBD,1.01,1.1,2-MeTHF,45,65,93,2,0,27,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,MTBD,1.01,1.1,2-MeTHF,45,30,1532,26,0,26,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,MTBD,1.80,2.0,2-MeTHF,45,65,93,2,1,27,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTTP,1.00,1.1,2-MeTHF,45,100,580,10,31,64,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,MTBD,1.39,1.5,2-MeTHF,45,100,576,10,51,98,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTMG,1.40,1.5,2-MeTHF,45,30,92,2,0,0,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTMG,1.80,2.0,2-MeTHF,45,100,2045,34,44,78,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTMG,0.99,1.1,2-MeTHF,45,100,2036,34,39,70,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,MTBD,1.80,2.0,2-MeTHF,45,30,2024,34,1,35,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTTP,1.40,1.5,2-MeTHF,45,48,2045,34,26,45,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTTP,1.80,2.0,2-MeTHF,45,30,97,2,1,34,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTTP,1.80,2.0,2-MeTHF,45,100,589,10,32,58,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTMG,0.99,1.1,2-MeTHF,45,30,586,10,0,29,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTTP,1.00,1.1,2-MeTHF,45,30,94,2,1,7,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTMG,0.99,1.1,2-MeTHF,45,100,93,2,8,45,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,MTBD,1.38,1.5,2-MeTHF,45,100,2022,34,47,98,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTMG,1.35,1.5,2-MeTHF,45,100,2038,34,38,72,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTTP,1.32,1.4,2-MeTHF,45,100,1895,32,35,48,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,MTBD,1.01,1.1,2-MeTHF,45,74,2040,34,60,78,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTTP,1.00,1.1,2-MeTHF,45,74,2037,34,62,77,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTMG,1.08,1.2,2-MeTHF,45,75,2029,34,64,82,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTMG,0.99,1.1,2-MeTHF,45,70,1833,31,64,80,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTTP,1.00,1.1,2-MeTHF,45,70,2042,34,73,97,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,MTBD,1.11,1.2,2-MeTHF,45,73,2002,33,69,98,0
tBuBrettPhos (Preliminary),Morpholine,Liquid handler,0,0.92,1.0,0.91,1.95,10,DBU,3.00,3.3,2-MeTHF,15,100,383,6,12,,0
tBuBrettPhos (Preliminary),Morpholine,Liquid handler,0,2.75,3.0,0.91,1.95,10,DBU,1.00,1.1,2-MeTHF,15,100,77,1,5,,0
tBuBrettPhos (Preliminary),Morpholine,Liquid handler,0,2.75,3.0,0.91,1.95,10,DBU,2.01,2.2,2-MeTHF,15,100,1195,20,8,,0
tBuBrettPhos (Preliminary),Morpholine,Liquid handler,0,0.92,1.0,0.91,1.95,10,Triethylamine,3.00,3.3,2-MeTHF,15,30,1112,19,0,,0
tBuBrettPhos (Preliminary),Morpholine,Liquid handler,0,2.75,3.0,0.91,1.95,10,MTBD,3.00,3.3,2-MeTHF,15,30,1314,22,0,,0
tBuBrettPhos (Preliminary),Morpholine,Liquid handler,0,0.92,1.0,0.91,1.95,10,MTBD,1.50,1.6,2-MeTHF,15,100,1117,19,1,,0
tBuBrettPhos (Preliminary),Morpholine,Liquid handler,0,2.75,3.0,0.91,1.95,10,Triethylamine,1.00,1.1,2-MeTHF,15,30,74,1,0,,0
tBuBrettPhos (Preliminary),Morpholine,Liquid handler,0,0.92,1.0,0.91,1.95,10,MTBD,1.01,1.1,2-MeTHF,15,30,77,1,0,,0
tBuBrettPhos (Preliminary),Morpholine,Liquid handler,0,2.75,3.0,0.91,1.95,10,DBU,1.00,1.1,2-MeTHF,15,30,1295,22,5,,0
tBuBrettPhos (Preliminary),Morpholine,Liquid handler,0,1.83,2.0,0.91,1.95,10,MTBD,3.00,3.3,2-MeTHF,15,100,82,1,0,,0
tBuBrettPhos (Preliminary),Morpholine,Liquid handler,0,0.92,1.0,0.91,1.95,10,DBU,1.00,1.1,2-MeTHF,15,100,98,2,5,,0